24.94,24.75,24.56,25.38,34,53,40,1
24.94,24.75,24.56,25.44,33,53,40,1
25.0,24.75,24.5,25.44,34,53,40,1
25.0,24.75,24.56,25.44,34,53,40,1
25.0,24.75,24.56,25.44,34,54,40,1
25.0,24.81,24.56,25.44,34,54,40,1
25.0,24.75,24.56,25.44,34,54,40,1
25.0,24.81,24.56,25.44,34,54,41,1
25.0,24.81,24.56,25.5,35,56,43,1
25.0,24.81,24.56,25.5,34,57,43,1
25.06,24.81,24.56,25.44,35,57,43,1
25.06,24.81,24.56,25.5,35,57,44,1
25.06,24.88,24.63,25.5,35,57,43,1
25.06,24.81,24.63,25.56,35,57,44,1
25.06,24.88,24.63,25.56,35,58,44,1
25.06,24.88,24.63,25.56,35,58,44,1
25.06,24.88,24.63,25.56,35,58,44,1
25.06,24.81,24.63,25.56,35,57,44,1
25.06,24.81,24.63,25.56,35,58,44,1
25.06,24.88,24.63,25.5,35,58,45,1
25.13,24.88,24.63,25.5,35,58,44,1
25.06,24.88,24.63,25.56,35,57,44,1
25.13,24.88,24.63,25.56,35,58,45,1
25.13,24.88,24.63,25.56,35,58,45,1
25.13,24.88,24.63,25.5,35,59,45,1
25.13,24.88,24.69,25.5,35,58,45,1
25.13,24.88,24.69,25.5,35,59,44,1
25.13,24.88,24.69,25.56,35,58,44,1
25.13,24.88,24.69,25.56,35,58,44,1
25.13,24.88,24.69,25.56,35,58,45,1
25.19,24.88,24.69,25.56,35,58,44,1
25.19,24.88,24.69,25.56,35,58,45,1
25.19,24.88,24.69,25.56,35,58,44,1
25.19,24.88,24.69,25.56,35,58,44,1
25.19,24.88,24.69,25.69,35,59,44,1
25.19,24.88,24.69,25.63,35,58,44,1
25.19,24.88,24.69,25.63,35,57,44,1
25.19,24.94,24.69,25.56,35,58,44,1
25.19,24.88,24.69,25.56,35,58,44,1
25.19,24.94,24.69,25.56,35,57,43,1
25.19,24.94,24.75,25.56,35,57,44,1
25.19,24.94,24.69,25.63,35,59,45,1
25.19,24.94,24.75,25.63,36,59,45,1
25.19,24.94,24.69,25.63,35,59,45,1
25.19,24.88,24.69,25.63,35,59,45,1
25.19,24.94,24.75,25.63,35,60,46,1
25.19,24.94,24.75,25.63,36,61,47,1
25.25,24.94,24.75,25.63,36,61,46,1
25.25,24.94,24.75,25.63,36,61,46,1
25.25,24.94,24.75,25.56,36,60,46,1
25.25,24.94,24.75,25.69,35,59,45,1
25.25,24.94,24.75,25.63,35,59,45,1
25.25,24.94,24.75,25.63,36,60,46,1
25.25,24.94,24.75,25.63,35,60,45,1
25.25,24.94,24.75,25.69,35,60,45,1
25.25,24.94,24.75,25.69,35,60,45,1
25.25,24.94,24.81,25.63,35,59,45,1
25.25,24.94,24.75,25.63,35,60,45,1
25.25,24.94,24.75,25.56,35,59,45,1
25.25,25.0,24.81,25.63,35,59,45,1
25.25,24.94,24.81,25.69,36,61,47,1
25.25,25.0,24.81,25.69,36,62,47,1
25.25,25.0,24.81,25.63,36,61,46,1
25.25,25.0,24.81,25.69,36,60,45,1
25.31,25.0,24.81,25.69,35,60,46,1
25.31,25.0,24.81,25.63,35,60,45,1
25.31,25.0,24.81,25.63,36,60,45,1
25.31,25.0,24.81,25.69,35,60,45,1
25.31,25.0,24.81,25.75,36,60,46,1
25.31,25.0,24.81,25.75,36,63,48,1
25.31,25.0,24.81,25.75,37,64,49,1
25.31,25.0,24.81,25.69,37,65,49,1
25.31,25.0,24.81,25.75,37,64,49,1
25.31,25.25,24.88,25.75,31,61,46,1
25.31,25.63,24.81,25.75,29,62,46,1
