algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std,num_datasets
farthest,minkowski_p1,1,,8.24478240706048,0.5907130772219636,0.5805452745167872,0.026091038328315906,0.6048438651413856,0.039585926074967914,0.0004833475748697917,2.553534178987462e-05,10
interval,minkowski_p1,1,0.01,6.694321358611598,0.615869045472224,0.6370925633820956,0.026389852942914415,0.6677165707460198,0.03896406157759581,0.00635716438293457,0.0003010945323305335,10
interval,minkowski_p1,1,0.05,6.973825306190283,0.7860408997176329,0.6456381984201451,0.032444250225142676,0.6875016446514147,0.040942704416911356,0.004638169606526693,0.00029930637687316467,10
interval,minkowski_p1,1,0.1,7.4224506593578,1.0938710274329686,0.6310420168632183,0.04729107512623106,0.6480866868023789,0.06750710658058275,0.0037323792775472006,0.00022251113192971943,10
interval,minkowski_p1,1,0.15,8.432497612510433,1.5451723995090565,0.6311352258936367,0.0326851959777429,0.5969666404264434,0.06449397809105964,0.003034345308939616,0.00045521985677285024,10
interval,minkowski_p1,1,0.25,13.522046706692612,1.528280746334564,0.5065448915756223,0.05224149140400043,0.37698044435383177,0.08630254619918443,0.0020452117919921874,0.0002490863911872603,10
kmeans,minkowski_p1,1,,4.846472990066051,0.01644093136514701,0.6720924673298659,0.00010169004811707234,0.7620880609308772,0.0013173377898351769,0.06911660671234131,0.034696929326742426,10
farthest,minkowski_p2,2,,6.303288135537563,0.5003069153516232,0.5995273872466645,0.03574854589241806,0.6309116941321278,0.05506990240789311,0.0004947408040364583,1.969018579331863e-05,10
interval,minkowski_p2,2,0.01,5.096789722348246,0.39984553709735116,0.6463690194506316,0.02190831777559286,0.6927917223082939,0.03290304541457684,0.006426142056783041,0.00032361326632288827,10
interval,minkowski_p2,2,0.05,5.261916504318886,0.5336984093373227,0.648957134486176,0.026695488529976052,0.6880130940747815,0.03956936736698199,0.004704499244689941,0.00030995575056292,10
interval,minkowski_p2,2,0.1,5.501623829007108,0.6453305150988018,0.653310650827423,0.03884797273044353,0.6841966854198525,0.04691525754991129,0.0038102610905965165,0.00023228186507728634,10
interval,minkowski_p2,2,0.15,6.444679378090808,1.0697958317069323,0.6375888827061031,0.04229378487290067,0.6043520879323883,0.07425092439965117,0.0029270648956298824,0.00015869922592775827,10
interval,minkowski_p2,2,0.25,9.10514441527047,1.2828939204510963,0.5679743989303343,0.06512977033313067,0.47000665701052025,0.1110006019851685,0.0020391289393107094,0.00015198468315559739,10
kmeans,minkowski_p2,2,,4.845267978987566,0.01585073696973637,0.6720617876109033,8.57254389922652e-05,0.7614895470042264,0.0012062451906187778,0.049074416160583494,0.03426477897950879,10
farthest,mahalanobis,,,7.7001092704360685,1.710576173439867,0.536389377924725,0.09917172350596859,0.5631135367896777,0.09451603867173483,0.0004959233601888021,1.5908680491455073e-05,10
interval,mahalanobis,,0.01,7.722297377057652,2.1516535380684547,0.5544835335216352,0.10227870799180369,0.580351868679681,0.11821433425933443,0.005980985959370931,0.0006572762528668569,10
interval,mahalanobis,,0.05,8.058586921244881,1.8354531306883792,0.5333960902922833,0.10289044626622176,0.5480505282382186,0.11533414046703686,0.004500770568847656,0.0004024899071646012,10
interval,mahalanobis,,0.1,8.963404257631586,1.9692218994494435,0.5201078712533884,0.09773765128472964,0.49455411029975094,0.11741318936110716,0.003890647888183594,0.0007854105118798369,10
interval,mahalanobis,,0.15,9.288149012019021,2.0852109484238763,0.5173665235002647,0.11755251941926328,0.4587671255408384,0.13924111610672443,0.0029492155710856118,0.00015122770270117525,10
interval,mahalanobis,,0.25,9.7510601744247,2.419286437727248,0.4959785681383487,0.11996526767427598,0.43606804633046103,0.16259287846006704,0.002136936187744141,0.000521967894504632,10
kmeans,mahalanobis,,,4.882890637589886,0.1616366652912564,0.6697631450595386,0.008765836387929027,0.7591125111134372,0.010549622199993213,0.05733420054117838,0.03256545863531229,10
