x1,x2,label
-8.070911216422484,-8.066671792078926,0
-7.293095776214056,-7.744073420836737,0
-7.215549302087515,-8.157153541316179,0
-8.026868797119992,-8.421255154806905,0
-8.25600750126618,-7.398562253840407,0
-8.165081737260845,-7.393069962097425,0
-8.393185670044447,-8.33313615921291,0
-8.107906786719434,-8.020159495316355,0
-7.708094167669964,-7.857453877986709,0
-8.131650443788628,-8.042158159669954,0
-8.100896554342325,-8.289238907401012,0
-8.280798535747282,-7.674954573287319,0
-8.578116511068734,-7.488546272259048,0
-8.10846429771887,-8.244288670828174,0
-7.766067572112602,-7.530333277543998,0
-7.646573589763636,-7.8413004475599495,0
-7.656303586679999,-8.54280419419352,0
-8.165017306374153,-8.288137272543084,0
-7.612735229850131,-8.121266397240863,0
-7.732658973172824,-7.830547156172205,0
-8.272685396043865,-8.185612483486043,0
-7.590858922000596,-8.245229145578293,0
-7.960513394580023,-8.247461282790955,0
-8.099280398704503,-8.014597688416618,0
-8.247564127640773,-8.303719994636,0
-7.909472422240683,-8.267129423652886,0
-8.256352427843261,-8.296954677803964,0
-8.024636687446089,-7.7015753403673,0
-7.523593814898579,-8.229555454645032,0
-7.3200120215829765,-8.317715573607568,0
-7.657351871097184,-8.228220457395578,0
-8.275410120003073,-8.235512575687213,0
-8.016585418892763,-7.816596696002106,0
-7.788169126847276,-8.298514272556833,0
-8.312957745607504,-8.289866606246948,0
-8.03521335390251,-8.066457037229199,0
-8.300471863694348,-7.914743826116493,0
-7.2845129202807435,-8.159605042970286,0
-8.137088474761084,-7.8230194718908495,0
-8.17671322754974,-7.788454856401647,0
-8.227223154952428,-7.420632909420184,0
-7.890972580638622,-8.1960684720657,0
-8.186160660995824,-8.162477747978865,0
-7.565898439741759,-8.401214296765366,0
-8.211221702278964,-8.177612663176301,0
-8.004960970680893,-8.085732412451208,0
-8.47156764574274,-8.126435034036252,0
-8.031480690149033,-8.198621975227292,0
-7.782822521343336,-7.709257526518183,0
-8.024788050940858,-7.927096349016217,0
-8.68338591027905,-8.133164388904234,0
-7.682247481170135,-8.133902404748586,0
-8.233142612895259,-7.279731519239948,0
-7.424757283932194,-7.852139829980249,0
-7.639844841638793,-8.703902584518639,0
-8.249045632693358,-8.14861372835557,0
-8.074623459489127,-8.154933903225903,0
-8.806389117450417,-7.877928297198291,0
-7.8280814695279926,-7.493435123750428,0
-8.249285277730163,-8.275169751454897,0
-8.847485506956328,-8.092833984911765,0
-7.715043434543255,-8.1934579843821,0
-7.322183233451575,-8.081142411693179,0
-7.953516958317718,-8.431051042022988,0
-7.909172951890636,-8.625915876959175,0
-7.780633445395744,-7.770915696189423,0
-7.570154309516219,-8.322542429342963,0
-7.949225800023876,-7.821705548981906,0
-7.860138265560539,-8.273631656711883,0
-8.756411089287074,-7.8902815204196814,0
-8.048224632590232,-8.179196975679632,0
-7.758419264273337,-8.014204805201084,0
-8.417166104477225,-8.610778842549006,0
-8.357009531248137,-7.2432630679750725,0
-7.771437915450382,-7.940355540454038,0
-8.057446229176515,-8.078232516727915,0
-7.630900221678527,-8.155139995479495,0
-7.81756174735979,-8.110182592338537,0
-7.386468602592045,-7.7652677635085405,0
-7.606120351045549,-8.184806597488066,0
-7.6653879809810626,-8.098845660939858,0
-7.965203933443659,-7.482952527788974,0
-8.329754426656164,-7.9357274239813025,0
-7.8614905755949955,-7.83556017634039,0
-8.142550573205979,-7.3402653640803335,0
-8.409493417245123,-7.538659932678148,0
-7.61576251797986,-7.398886184617176,0
-8.502241507351778,-8.274748640460448,0
-7.528206179376987,-8.593571898594877,0
-8.508006909473874,-8.154416480520402,0
-7.9392862331348715,-7.496494221964053,0
-8.058586226397493,-8.192342106996435,0
-7.901529855642137,-7.8515005531584485,0
-7.860467716757428,-8.056284180922262,0
-8.618252514174877,-8.290175654296426,0
-7.550870847567561,-7.940843607652518,0
-8.101990449216242,-7.646404057917407,0
-8.357374257992504,-8.071261336900129,0
-7.956436967281772,-8.13957582183695,0
-7.968135997616277,-8.059354032628422,0
-8.442511125892521,-7.942611654831919,0
-8.420061719514578,-7.947627898972065,0
-7.565460098125304,-8.088867337873516,0
-8.370455493117138,-8.040157072481174,0
-8.263092364898228,-7.811999746220952,0
-8.046798151024781,-7.459325386508428,0
-7.632230398258129,-8.048408305952885,0
-7.773704543093478,-8.12435227118605,0
-7.989261890063329,-8.114295528473951,0
-7.757625344066436,-7.546849318527812,0
-7.747445261606592,-7.708458048166376,0
-7.708111198184102,-7.825677571176543,0
-8.360273916980967,-7.462105576356654,0
-7.429395195296562,-8.073959224472691,0
-8.117224973595912,-7.806338431115892,0
-7.825817687636519,-8.06386095417765,0
-8.395292820530202,-7.903328795380511,0
-7.825620455432689,-7.7704751998279145,0
-7.889543926912601,-8.08573413769981,0
-7.685668955630749,-7.979176876719165,0
-8.147021566202369,-8.057127615427705,0
-8.552123886674144,-8.057629924934814,0
-7.782297257275627,-7.892551173978461,0
-7.5191237657163175,-8.083159969577656,0
-7.845898047097051,-7.749313545015031,0
-7.25912356217238,-7.954221132147538,0
-8.330200978875595,-7.731861384585017,0
-7.410005206225593,-8.101998858066576,0
-7.734026664008488,-7.6114420720527445,0
-7.678375635137618,-7.960294908933806,0
-8.220876796181129,-8.025702849891195,0
-7.854977802975969,-7.7127948201602985,0
-7.894397303498878,-8.120137447551127,0
-7.824373532044559,-7.728017220443247,0
-7.879956759902523,-8.26442558320252,0
-8.05736562510059,-7.700272753290741,0
-8.437348632020768,-8.661921009896298,0
-7.5231023293306505,-7.8382762963975,0
-7.808135126727676,-8.340519425979096,0
-7.766773148115252,-7.912958722431189,0
-8.501008370581866,-7.549602037729343,0
-7.949819927067923,-8.125252747748336,0
-8.119530852950177,-8.637269121183076,0
-7.812370492602547,-7.917193480337276,0
-8.061373526675947,-7.595707478961984,0
-8.437614646059309,-8.188716027022068,0
-8.268796211498747,-8.088162713629869,0
-7.978664104639809,-7.864017784008107,0
-8.109722639942579,-8.277444244130093,0
-7.466837788785229,-7.237372409714283,0
-7.95468877585076,-8.239314964828411,0
-7.53342043628018,-8.457504767703236,0
-8.105864620593437,-8.220131540033469,0
-8.366677336736062,-8.08855143760743,0
-8.27327520605131,-7.9959983070721306,0
-7.991405824980272,-8.196482342884748,0
-8.11716661103508,-8.073000853407484,0
-7.743904189274668,-8.046937497909745,0
-7.739206410881015,-7.8147496689068525,0
-7.819266124509032,-7.561124569222022,0
-8.353982477201672,-8.149633636624406,0
-7.442395959561097,-8.081370622140614,0
-8.890220275520004,-8.064184225725795,0
-7.957328373829114,-8.827603834538634,0
-7.578172512587993,-8.225695698026593,0
-7.896099220088719,-8.071461639245186,0
-8.407412491139517,-8.338524395918611,0
-8.295699156404172,-7.656680397531622,0
-8.046655671625084,-8.165028366460382,0
-8.295549288527836,-7.621744087626247,0
-7.536978902590855,-7.625351083609908,0
-7.844277640336002,-7.908347693334658,0
-8.384513299793907,-8.077734833284048,0
-8.216255584372064,-8.577277616060922,0
-7.665733520974537,-8.220040749475245,0
-7.621809962325817,-7.721167305494274,0
-7.8239503179478,-7.806189039159025,0
-8.194579334327317,-7.412496197063309,0
-7.986362541311204,-7.904520817725213,0
-8.205255958938178,-8.294460310207985,0
-7.849065749405443,-7.931216193100766,0
-8.249615135269478,-8.454870467857276,0
-8.401584940918797,-7.621749306786863,0
-8.193927883808096,-8.107172292283085,0
