feature_0,feature_1,label
-2.4774501432455263,0.6143964592060098,2
-2.646318641682453,2.290453011757603,2
5.6897193423500045,-7.313001536360534,0
-3.4755395475292192,3.310207807383523,2
-2.436029644155523,1.4076854959904668,2
7.157377580688806,-7.325535153491303,0
6.8229608766117416,-6.739802614504884,0
5.617887655865248,-9.394879790163094,0
-4.879781247409567,2.2536254082738516,2
6.4969951494111156,-9.573375547548707,0
2.3844492434370403,-4.063519652525607,1
3.190460300422223,-2.382103419760909,1
5.863444531487724,-1.2702311784322189,1
-2.8250986985154003,2.065392778941878,2
7.680168704087412,-6.900785409527674,0
7.905373750141511,-7.5021709239203505,0
5.094293304405189,-2.6743190274996578,1
5.327692434569029,-1.5977368207546787,1
5.710145796726761,-0.09456778945794264,1
-4.249004012622219,2.6004265013899808,2
6.143620274833413,-9.017636770149515,0
4.566345744549425,-4.729157217140405,1
5.732800570462152,-9.923082575348328,0
-3.0177907134809443,1.3760186186110088,2
8.132789675591962,-7.469297417517375,0
6.882937720208012,-8.767989405868478,0
-2.8615535932154197,2.297331075659378,2
7.096249756392611,-2.1757724130681018,1
6.785953582366233,-4.005839287905821,1
6.355278913647045,-7.441186007675942,0
5.186510147883192,-7.456800723476888,0
2.6706803024796035,-6.295431454989185,1
8.27622362400008,-9.422670959689913,0
2.4457831417728215,-1.824041460228527,1
-1.8025859777898328,2.205540188579309,2
8.217541218838207,-9.225500836174266,0
3.5358223997303453,-0.59525955339776,1
8.114644168570146,-8.470628819468738,0
7.301793017176398,-6.685669210055025,0
-3.0782206639090015,1.3646450925551639,2
1.8015278508508712,-5.771939903965977,1
-2.7196629943555988,3.2918450945608635,2
-1.7712537873617022,1.8033363989033442,2
-2.041702165829706,1.809946118030873,2
3.557906040186763,-3.348849317996701,1
5.818824689725251,-7.938015234538462,0
-3.3268086207422902,1.4131197183339625,2
-3.0846648575178803,2.961540676245317,2
6.882814448422563,-7.225391018351056,0
6.531779457013494,-2.7023413640883067,1
3.356467392081604,-3.948026668207927,1
5.031112671636913,-8.52313547892888,0
7.56189542683645,-9.593808452667007,0
6.3605344275181945,-6.761950885513336,0
4.1959450706942,-4.6646121446331295,1
7.092687224617637,-8.450657325788896,0
3.152093183010845,-4.476538230813957,1
5.744971713565729,-7.369581961586292,1
8.072160285936228,-6.711712311396441,0
4.783854654712328,-2.328941771898784,1
-2.4020419491147673,1.5034068637666818,2
9.510882088178299,-7.301506541783678,0
3.7730354343524737,-4.293593867894009,1
9.072434812411457,-7.706864559708867,0
5.856195455639624,-9.591044687646427,0
-4.555966167135584,2.6291804521578905,2
5.777570070607221,-9.025501402547645,0
-3.954544218240602,3.106880311383417,2
8.248975493550658,-5.430963599380985,0
