feature_0,feature_1,feature_2,feature_3,feature_4
0.9135780114026949,0.525360481819498,0.7249102718360844,0.4360482979725878,0.6300345775424382
0.3405759374211187,0.30115901978544535,0.5782297861695137,0.49812967418398035,0.5795363691499811
0.286660581287023,0.36695783181699526,0.08389796062890931,0.05227637227220572,0.25345712967301626
0.07424685933054576,0.1037747086347407,0.8129284053939371,0.0388736970166893,0.6589427939347428
0.2725577488154005,0.8715456807081264,0.48499228457749954,0.30557645932782573,0.5176389356894345
0.3819580190452688,0.5643010646698302,0.11453286832634824,0.9969905028125511,0.42555587769671754
0.34823063970736867,0.7102098483162649,0.3638994064953325,0.8332743050287577,0.45427072436042526
0.7195584132654349,0.10745321644188655,0.8461191855551118,0.7357179867781098,0.21171677846196568
0.14528600974578665,0.3162923487256244,0.9760705860319043,0.25683157456705863,0.4561272089466333
0.030020225717336313,0.39722752956623253,0.5713200154331027,0.9531246125079651,0.5167360449400644
0.8191073261776878,0.5471276425689006,0.0407850134355181,0.31500827518977403,0.5755495078311033
0.9505939659311243,0.8591303597512333,0.22835561417884764,0.2201098300191635,0.20117296711390076
0.9224988963025031,0.8526661531017207,0.7748834322529488,0.3927351142242276,0.5043807042987668
0.4643317447951528,0.25339810755937264,0.505028046148767,0.030496547852754463,0.13181037349745917
0.8865895961689464,0.7516797670314233,0.42286840905908707,0.5171503622838772,0.36999888595997743
0.7407798671606725,0.7841871792320796,0.7632851902031591,0.7226117248344496,0.20450433869279583
0.3379699792404788,0.4698454349836749,0.3307929914276556,0.754940200158329,0.3293535242499547
0.13823208678533716,0.3990404520483041,0.9799144327823803,0.2258814129335759,0.6121586589432291
0.4329730498397063,0.07102456764932663,0.4878766059980595,0.7021643286483125,0.5132199758278188
0.8721060637465811,0.28893701665758265,0.08624917130396492,0.9365656116580061,0.378196349528219
0.5764055514536334,0.792003126130196,0.3243136638755806,0.7161645381776112,0.13541884981782804
0.29129374720550527,0.1447106361365199,0.8112305584013578,0.22264923522678537,0.7174035554052103
0.9432983972456526,0.527772209068877,0.5400291922606877,0.46103356809781204,0.32589014339364275
0.4756550309249171,0.6028075322667594,0.9859915721706594,0.9377645593182242,0.8621529582931218
0.8891305357048583,0.46784918329204295,0.6574443271774648,0.8950667229362141,0.39295076499135306
0.9617624783454688,0.415786062069183,0.6010826653932156,0.7098047132723719,0.9505920130759383
0.24461627405226605,0.7461309782386423,0.5208155861440822,0.26855714062064107,0.7766068397963906
0.5522222801738466,0.6609738206496758,0.322901068577901,0.481273951827605,0.6173542509880671
0.404910814269844,0.1983725398477013,0.961640492315304,0.5114675400426174,0.7339203702877005
0.4110471935560581,0.35513176402571633,0.407164298467125,0.4091966437856498,0.5441801159419536
0.5434698699813632,0.49715381588287166,0.1347857849174381,0.49607547850053113,0.1691039004206515
0.12613578629576516,0.9326457173411677,0.6049500131477042,0.6594900581245843,0.4017936703333638
0.9089808919148642,0.6379304895796655,0.7691698695235875,0.36856246902771383,0.9600118808191255
0.820461290158315,0.8539484630145436,0.17219426742575428,0.2709632078712195,0.28562659968357706
0.27090922324687117,0.8554081621042879,0.03188479520859211,0.0760999889807743,0.2739148706299037
0.19987297464944365,0.23185961388284837,0.7979431892533,0.5631265938920469,0.0057706612929679935
0.42932276570419525,0.40788492685035893,0.11394526944454353,0.6761417886014571,0.7020971883794911
0.7208932190520977,0.728470945558592,5.282693229680113e-05,0.9539208038467222,0.814208767054663
0.9039816965892853,0.015643295307434135,0.9338587957857394,0.8097885286881047,0.8372191429586986
0.09328738472196851,0.7387780289185977,0.959916689642091,0.6785473414181606,0.5705614046246065
0.945629677748997,0.442937121734436,0.5992935663104787,0.4763382934943662,0.9328462213602992
