algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,2.0041056029535755,0.22743515512543924,0.3212674553663392,0.020356263595992265,0.015227353930334753,0.012908068231948386,0.0004810333251953125,5.3770361953603925e-05
interval,minkowski_p1,1,0.01,1.769081747427607,0.12112515246449003,0.3229730843852405,0.013498529099130142,0.012834337835723702,0.015033583621638265,0.005889415740966797,0.00041115778105013396
interval,minkowski_p1,1,0.05,1.864647785375223,0.17420444769444793,0.32333968364625093,0.01571614775926141,0.010118039334920708,0.012685423201824753,0.004343636830647786,0.00012814640784380838
interval,minkowski_p1,1,0.1,1.8459114644880508,0.19445905227414648,0.3228962450355229,0.021238492026723,0.006958584606078488,0.0074808854848506575,0.0036547183990478516,0.00014062088680543515
interval,minkowski_p1,1,0.15,2.0765454572985544,0.23229992770506658,0.33754098697987134,0.01403713412287274,0.002056100433717825,0.005283715048246418,0.0038985570271809896,0.0033899105519375164
interval,minkowski_p1,1,0.25,2.5422135380099116,0.3964345088181444,0.3291973401315671,0.0,0.0005521594455263038,0.002065991468030498,0.004230976104736328,0.006969800087969148
kmeans,minkowski_p1,1,,1.2170321722207968,0.02522957148469486,0.3520461555026941,0.0014287818832279912,-0.0009105248812499598,8.72837985834123e-05,0.03731981913248698,0.03841494824293589
farthest,minkowski_p2,2,,1.457373645637282,0.10135132293211424,0.33087497731326665,0.020462338438933553,0.006906528206647193,0.009313541297724178,0.0004782517751057943,1.3441809348207078e-05
interval,minkowski_p2,2,0.01,1.415251412087909,0.08740144278309132,0.3282194687016374,0.009822314231200812,0.007159818974758092,0.004161373973800148,0.005662266413370768,0.00021219988368499038
interval,minkowski_p2,2,0.05,1.4316109300955953,0.10921824404070384,0.33034764249122095,0.012608504590372027,0.006249114907153833,0.004718526276367872,0.004326581954956055,0.00015689082621198047
interval,minkowski_p2,2,0.1,1.5065497598999014,0.14491225626816995,0.33491731909296135,0.014606237627570132,0.003334853738188052,0.004390030646136646,0.003609625498453776,0.00016579616943298157
interval,minkowski_p2,2,0.15,1.7012587267098194,0.14118154490289203,0.3509443645584972,0.0012157945998672044,-0.00024097989226039746,0.0003895012188617609,0.002903620402018229,0.00017491609923957145
interval,minkowski_p2,2,0.25,1.826964630558201,0.2553926177176692,,,0.0,0.0,0.002383708953857422,0.00011078795990963472
kmeans,minkowski_p2,2,,1.2177648672374877,0.031540449512942534,0.35205462398789816,0.0015773403955920825,-0.0009650039835152013,3.154201122399053e-05,0.07309339841206869,0.028989029513387988
farthest,mahalanobis,,,1.4915006632935117,0.11674805092327804,0.3263689268913985,0.02322629497156619,0.009095218213370272,0.010002557578056995,0.00047454833984375,1.187212809831315e-05
interval,mahalanobis,,0.01,1.4337881074742698,0.1264176211291454,0.32945120926880483,0.012033320890385535,0.00508573480573858,0.004928173015078212,0.005686791737874349,0.0002813563077538141
interval,mahalanobis,,0.05,1.4819362878266407,0.13269958493429054,0.33165956066636276,0.016830058133253,0.005562181240366652,0.007154975807267023,0.004382181167602539,0.00025582564916498495
interval,mahalanobis,,0.1,1.4727958936806895,0.11899637293248307,0.3352317809646073,0.015347703773861814,0.0038781646829116416,0.005057303668709179,0.0036385377248128255,0.00014998972922167808
interval,mahalanobis,,0.15,1.5705508767536853,0.09683732130143112,0.32636245660043933,0.02221205553171928,0.0024698526933513514,0.006393753552970575,0.0028708457946777345,0.00014290055189391832
interval,mahalanobis,,0.25,1.9420700150153776,0.2763574694714011,,,0.0,0.0,0.0022555033365885416,9.796040678204035e-05
kmeans,mahalanobis,,,1.2002697368826718,0.0191458002744817,0.352096585526542,0.0013333586336169868,-0.0009190999284811836,6.208243863866279e-05,0.0023342450459798176,0.0002158902173896539
